[2025-07-31T03:31:13.468+0000] {processor.py:161} INFO - Started process (PID=9147) to work on /opt/airflow/dags/dag_generator.py
[2025-07-31T03:31:13.469+0000] {processor.py:830} INFO - Processing file /opt/airflow/dags/dag_generator.py for tasks to queue
[2025-07-31T03:31:13.470+0000] {logging_mixin.py:188} INFO - [2025-07-31T03:31:13.469+0000] {dagbag.py:545} INFO - Filling up the DagBag from /opt/airflow/dags/dag_generator.py
[2025-07-31T03:31:13.767+0000] {processor.py:840} INFO - DAG(s) 'dag_3333www6ffsfsg', 'dag_6666ffsfsg', 'dag_54435435345345tt', 'dag_77777dddwww6ffsfsg', 'dag_111111ddddwww6ffsfsg', 'dag_bbbbbbb', 'dag_rrtttttttttttttttttt', 'dag_99999dddwww6ffsfsg', 'dag_ppppp', 'dag_222222dddwww6ffsfsg' retrieved from /opt/airflow/dags/dag_generator.py
[2025-07-31T03:31:13.869+0000] {logging_mixin.py:188} INFO - [2025-07-31T03:31:13.868+0000] {override.py:1829} INFO - Created Permission View: can edit on DAG:dag_ppppp
[2025-07-31T03:31:13.874+0000] {logging_mixin.py:188} INFO - [2025-07-31T03:31:13.874+0000] {override.py:1829} INFO - Created Permission View: can read on DAG:dag_ppppp
[2025-07-31T03:31:13.879+0000] {logging_mixin.py:188} INFO - [2025-07-31T03:31:13.879+0000] {override.py:1829} INFO - Created Permission View: can delete on DAG:dag_ppppp
[2025-07-31T03:31:13.885+0000] {logging_mixin.py:188} INFO - [2025-07-31T03:31:13.885+0000] {dag.py:3096} INFO - Sync 10 DAGs
[2025-07-31T03:31:13.891+0000] {logging_mixin.py:188} INFO - [2025-07-31T03:31:13.890+0000] {dag.py:3118} INFO - Creating ORM DAG for dag_ppppp
[2025-07-31T03:31:13.895+0000] {logging_mixin.py:188} INFO - [2025-07-31T03:31:13.895+0000] {dag.py:3954} INFO - Setting next_dagrun for dag_111111ddddwww6ffsfsg to None, run_after=None
[2025-07-31T03:31:13.897+0000] {logging_mixin.py:188} INFO - [2025-07-31T03:31:13.897+0000] {dag.py:3954} INFO - Setting next_dagrun for dag_222222dddwww6ffsfsg to None, run_after=None
[2025-07-31T03:31:13.897+0000] {logging_mixin.py:188} INFO - [2025-07-31T03:31:13.897+0000] {dag.py:3954} INFO - Setting next_dagrun for dag_3333www6ffsfsg to None, run_after=None
[2025-07-31T03:31:13.898+0000] {logging_mixin.py:188} INFO - [2025-07-31T03:31:13.898+0000] {dag.py:3954} INFO - Setting next_dagrun for dag_54435435345345tt to None, run_after=None
[2025-07-31T03:31:13.899+0000] {logging_mixin.py:188} INFO - [2025-07-31T03:31:13.899+0000] {dag.py:3954} INFO - Setting next_dagrun for dag_6666ffsfsg to None, run_after=None
[2025-07-31T03:31:13.899+0000] {logging_mixin.py:188} INFO - [2025-07-31T03:31:13.899+0000] {dag.py:3954} INFO - Setting next_dagrun for dag_77777dddwww6ffsfsg to None, run_after=None
[2025-07-31T03:31:13.900+0000] {logging_mixin.py:188} INFO - [2025-07-31T03:31:13.900+0000] {dag.py:3954} INFO - Setting next_dagrun for dag_99999dddwww6ffsfsg to None, run_after=None
[2025-07-31T03:31:13.900+0000] {logging_mixin.py:188} INFO - [2025-07-31T03:31:13.900+0000] {dag.py:3954} INFO - Setting next_dagrun for dag_bbbbbbb to None, run_after=None
[2025-07-31T03:31:13.901+0000] {logging_mixin.py:188} INFO - [2025-07-31T03:31:13.901+0000] {dag.py:3954} INFO - Setting next_dagrun for dag_ppppp to 2025-06-25 00:00:00+00:00, run_after=2025-06-25 00:00:00+00:00
[2025-07-31T03:31:13.901+0000] {logging_mixin.py:188} INFO - [2025-07-31T03:31:13.901+0000] {dag.py:3954} INFO - Setting next_dagrun for dag_rrtttttttttttttttttt to None, run_after=None
[2025-07-31T03:31:13.912+0000] {processor.py:183} INFO - Processing /opt/airflow/dags/dag_generator.py took 0.452 seconds
